content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Introduction,Month,Organisation,Total,NextIsLi,LastEndColon,LastLabel,Label
'Apple Inc.,'1-1-1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C
"'This article is about the technology company. For other companies named ""Apple"", see Apple (disambiguation).",'1-1-2-1-1-1,1,0,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,I
'Coordinates: 37°19′55″N 122°01′52″W﻿ / ﻿37.33182°N 122.03118°W﻿ / 37.33182; -122.03118,'1-1-2-1-1-2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,I
'Apple Inc.,'1-1-2-1-2-1-1,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,N
'Logo used since 1999,'1-1-2-1-2-1-2-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,N
"'Apple Campus (1 Infinite Loop, Cupertino, California)",'1-1-2-1-2-1-3-2,0,0,0,1,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,N
'Type,'1-1-2-1-2-1-4-1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,C
'Public,'1-1-2-1-2-1-4-2,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,I
'Traded as,'1-1-2-1-2-1-5-1,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2,C
'NASDAQ: AAPL,'1-1-2-1-2-1-5-2-1,0,1,0,1,0,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'NASDAQ-100 component,'1-1-2-1-2-1-5-2-2,0,1,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'S&P 500 component,'1-1-2-1-2-1-5-2-3,0,1,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
'Industry,'1-1-2-1-2-1-6-1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,C
'Computer hardware,'1-1-2-1-2-1-6-2-1,0,0,0,1,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'Computer software,'1-1-2-1-2-1-6-2-2,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,2,I
'Consumer electronics,'1-1-2-1-2-1-6-2-3,0,0,0,1,0,2,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,2,I
'Digital distribution,'1-1-2-1-2-1-6-2-4,0,0,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,I
