content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Date,Institution,Month,Topic,Total,NextIsLi,LastEndColon,LastLabel,Label
'Call for Papers: The Twenty-Fourth AAAI Conference on Artificial Intelligence (AAAI-10),'1-1,1,0,1,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,C
'The Twenty-Fourth AAAI Conference on Artificial Intelligence (AAAI-10),'1-2-2-1-2-1-1-1,0,0,0,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,C
'Call for Papers,'1-2-2-1-2-1-1-2-1-1,0,0,0,1,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,1,1,C
"'Authors Register on AAAI Submission Site: December 1, 2009 – January 18, 2010",'1-2-2-1-2-1-1-2-1-2-1,1,1,0,1,0,2,0,1,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,I
'Abstract Submission Deadline: January 18,'1-2-2-1-2-1-1-2-1-2-2,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
'Paper Submission Deadline: January 21,'1-2-2-1-2-1-1-2-1-2-3,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
'Author Feeback About Initial Reviews: March 8–10,'1-2-2-1-2-1-1-2-1-2-4,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,0,0,1,0,0,0,0,2,I
'Author Notification Deadline: March 26,'1-2-2-1-2-1-1-2-1-2-5,0,1,0,1,0,2,0,1,0,2,1,0,1,1,0,0,1,0,1,0,1,0,0,2,I
'Final Camera-Ready Copy Due at AAAI Office: April 13,'1-2-2-1-2-1-1-2-1-2-6,1,1,0,1,0,2,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,2,I
'Technical Paper Submission Site,'1-2-2-1-2-1-1-2-2-1,0,0,0,1,1,2,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,C
