content,nodeID,#ofWords,isLI,isH,FontSize,FontWeight,XxxRatio,ContainUrl,ContainColon,VisionLocation,Depth,#ofSibling,SiblingType,NextNodeType,LastNodeType,Concept,Country,Institution,Month,Others,Total,NextIsLi,LastEndColon,LastLabel,Label
'ACM Transactions on the Web,'1-1-2-4-2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,C
'Information for reviewers,'1-2-2-1-1,0,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,C
'Guidelines,'1-2-2-1-2-1-1-1,0,0,0,1,1,1,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,1,C
"'TWEB is a fully peer-reviewed journal. Each paper will receive no less than three reviews, ideally four.",'1-2-2-1-2-1-1-2,1,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,N
"'Papers should satisfy certain minimum criteria before even being considered, including the following:",'1-2-2-1-2-1-2-1,1,0,0,1,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,1,1,3,C
"'there should be a comprehensive related work section which covers a representative selection of work in the field, in addition to specifically comparing the authors' own work against these",'1-2-2-1-2-1-2-2-1,2,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,I
'there should be a solid evaluation section,'1-2-2-1-2-1-2-2-2,0,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'there should not be an excessive number of self-references,'1-2-2-1-2-1-2-2-3,1,1,0,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'There should be no text largely duplicated from previously-published papers.,'1-2-2-1-2-1-2-2-4,1,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,2,I
"'TWEB will consider extended versions of conference papers for publication; however, authors of such papers must make substantial enhancements to the conference versions and must alert the Editors that the paper is an extended version, and include a copy of the earlier publication as well as a letter indicating the enhancements the authors have made to the earlier publication.",'1-2-2-1-2-1-2-3,2,0,0,1,0,0,0,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,2,N
"'Some papers can be exempted from some conditions where, say, an evaluation is perhaps not relevant, but in general most good papers will have most of these characteristics. Authors will be given advice about the expected style of the paper in the submission guidelines.",'1-2-2-1-2-1-2-4,2,0,0,1,0,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,3,N
'The Review Form,'1-2-2-1-2-2-1-1,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,C
'review form,'1-2-2-1-2-2-1-2,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,N
"'In your review, please endeavour to give the authors useful criticisms which could help them improve their papers. Criticisms can often be difficult to accept, and should be given as courteously as possible, while still remaining useful.",'1-2-2-1-2-2-2,2,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,N
'The Review Process,'1-2-2-1-2-3-1,0,0,0,1,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3,C
'TWEB aims to return responses to authors within three months of submission.,'1-2-2-1-2-3-2,1,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,1,1,1,N
'Invitation sent to the reviewer to review the manuscript,'1-2-2-2-1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,I
'Reviewer should confirm agreement to review paper to the Associate Editor,'1-2-2-2-2,1,1,0,1,0,2,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,2,I
"'Associate Editor will send the full manuscript to the reviewer. If the submission is an enhanced version of a previously published conference paper, the reviewer should also receive a copy or accessible link to the conference paper as well as a letter from the authors describing the enhancements that they have made to the conference paper.",'1-2-2-2-3,2,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,2,I
"'Reviewers should return their reviews, using the review form, to the Associate Editor (completed reviews will be automatically sent to the associate editor for papers reviewed via Manuscript Central). This review should ideally be completed within six weeks of receiving the manuscript to review.",'1-2-2-2-4,2,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,I
'The Associate Editor will make a recommendation to the Editors-in-Chief,'1-2-2-2-5,1,1,0,1,0,2,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,2,I
